select8::user	select8::url	select8::opened_count	select8::closed_count	select8::reopened_count	select8::total_actions_count
kcwu	https://github.com/kcwu	2	0	0	2
kizu	https://github.com/kizu	1	0	0	1
kmcc	https://github.com/kmcc	1	0	0	1
koem	https://github.com/koem	1	0	0	1
lahi	https://github.com/lahi	1	1	0	2
lmiz	https://github.com/lmiz	1	0	0	1
mcht	https://github.com/mcht	1	0	0	1
md-5	https://github.com/md-5	0	1	0	1
mdxp	https://github.com/mdxp	0	4	0	4
mgax	https://github.com/mgax	1	0	0	1
mooz	https://github.com/mooz	0	1	0	1
mor1	https://github.com/mor1	1	0	0	1
ncbk	https://github.com/ncbk	1	0	0	1
njam	https://github.com/njam	2	1	0	3
obuk	https://github.com/obuk	0	1	1	2
osks	https://github.com/osks	2	2	0	4
oste	https://github.com/oste	1	0	0	1
pipt	https://github.com/pipt	0	0	1	1
pjcj	https://github.com/pjcj	0	1	0	1
pkgw	https://github.com/pkgw	1	0	0	1
r10r	https://github.com/r10r	1	0	0	1
rebb	https://github.com/rebb	2	0	0	2
relu	https://github.com/relu	0	1	0	1
rgrp	https://github.com/rgrp	8	9	0	17
rsam	https://github.com/rsam	2	5	0	7
sarg	https://github.com/sarg	1	0	0	1
satb	https://github.com/satb	1	0	0	1
sipa	https://github.com/sipa	0	1	0	1
snej	https://github.com/snej	0	3	0	3
stas	https://github.com/stas	0	1	0	1
tito	https://github.com/tito	3	0	0	3
tmek	https://github.com/tmek	2	0	0	2
toji	https://github.com/toji	0	1	0	1
turu	https://github.com/turu	1	0	0	1
tute	https://github.com/tute	0	1	0	1
txdv	https://github.com/txdv	1	0	0	1
unkl	https://github.com/unkl	1	0	0	1
vicb	https://github.com/vicb	3	2	0	5
vktr	https://github.com/vktr	0	1	0	1
vlkv	https://github.com/vlkv	1	0	0	1
vpal	https://github.com/vpal	1	0	0	1
waja	https://github.com/waja	1	0	0	1
wesm	https://github.com/wesm	0	8	0	8
will	https://github.com/will	1	0	0	1
xPaw	https://github.com/xPaw	1	1	0	2
xdoo	https://github.com/xdoo	1	0	0	1
xeqi	https://github.com/xeqi	0	1	0	1
yggi	https://github.com/yggi	1	3	0	4
zyxu	https://github.com/zyxu	4	1	1	6
3nids	https://github.com/3nids	1	0	0	1
4ch1m	https://github.com/4ch1m	2	1	1	4
Alalf	https://github.com/Alalf	2	1	0	3
Alia5	https://github.com/Alia5	1	0	0	1
Arul-	https://github.com/Arul-	0	3	0	3
Beman	https://github.com/Beman	1	0	0	1
BeniS	https://github.com/BeniS	0	1	0	1
Bresj	https://github.com/Bresj	1	0	0	1
Byrth	https://github.com/Byrth	2	0	0	2
Camoy	https://github.com/Camoy	2	0	0	2
Cilph	https://github.com/Cilph	1	0	0	1
Dimox	https://github.com/Dimox	1	0	0	1
FPtje	https://github.com/FPtje	0	2	0	2
Ferdi	https://github.com/Ferdi	1	0	0	1
Freso	https://github.com/Freso	1	0	0	1
Fuco1	https://github.com/Fuco1	2	0	0	2
Gagle	https://github.com/Gagle	1	0	0	1
Guite	https://github.com/Guite	0	2	0	2
Holek	https://github.com/Holek	1	0	0	1
Hudon	https://github.com/Hudon	3	0	0	3
