aggregate_count_action::repo_id	aggregate_count_action::repo_name	aggregate_count_action::repo_url	aggregate_count_action::opened_count	aggregate_count_action::closed_count	aggregate_count_action::reopened_count	aggregate_count_action::total_actions_count
340637	uncrustify	https://github.com/bengardner/uncrustify	1	0	0	1
341626	octopress	https://github.com/imathis/octopress	0	1	0	1
342869	pika	https://github.com/pika/pika	2	0	0	2
345337	openFrameworks	https://github.com/openframeworks/openFrameworks	2	0	0	2
351224	b3-plugin-countryfilter	https://github.com/xlr8or/b3-plugin-countryfilter	1	0	0	1
354666	ckeditor-for-mt	https://github.com/usualoma/ckeditor-for-mt	1	0	0	1
356756	leiningen	https://github.com/technomancy/leiningen	1	1	0	2
356848	sgtpuzzles	https://github.com/chrisboyle/sgtpuzzles	1	0	0	1
358078	Quicksilver	https://github.com/quicksilver/Quicksilver	0	2	0	2
358154	sage-on-gentoo	https://github.com/cschwan/sage-on-gentoo	2	1	0	3
372859	WebLoader	https://github.com/janmarek/WebLoader	1	0	0	1
373267	clojars-web	https://github.com/ato/clojars-web	0	1	0	1
387568	macfsevents	https://github.com/malthe/macfsevents	1	0	0	1
389995	django-dajaxice	https://github.com/jorgebastida/django-dajaxice	1	0	0	1
390510	gunicorn	https://github.com/benoitc/gunicorn	1	0	0	1
392759	hakyll	https://github.com/jaspervdj/hakyll	0	1	0	1
393047	platform	https://github.com/cashmusic/platform	1	0	0	1
401025	hub	https://github.com/defunkt/hub	2	1	0	3
402046	jsPDF	https://github.com/MrRio/jsPDF	2	0	0	2
416536	mediacore-community	https://github.com/mediacore/mediacore-community	0	1	0	1
427635	eclim	https://github.com/ervandew/eclim	1	1	0	2
437011	zfs	https://github.com/zfsonlinux/zfs	3	0	0	3
441269	coffee-script	https://github.com/jashkenas/coffee-script	2	2	0	4
442073	mpdcron	https://github.com/alip/mpdcron	1	1	0	2
442430	jsoup	https://github.com/jhy/jsoup	1	0	0	1
448739	numerizer	https://github.com/jduff/numerizer	1	0	0	1
454006	silverstripe-memberprofiles	https://github.com/ajshort/silverstripe-memberprofiles	1	0	0	1
456588	ffi-pcap	https://github.com/sophsec/ffi-pcap	0	1	0	1
458058	symfony	https://github.com/symfony/symfony	3	1	0	4
460078	angular.js	https://github.com/angular/angular.js	1	0	0	1
463074	geminabox	https://github.com/cwninja/geminabox	0	0	1	1
463405	SleekXMPP	https://github.com/fritzy/SleekXMPP	1	1	0	2
466542	tpie	https://github.com/thomasmoelhave/tpie	1	0	0	1
475156	zeromq-haskell	https://github.com/twittner/zeromq-haskell	1	0	0	1
478804	writetothem	https://github.com/mysociety/writetothem	1	0	0	1
479586	jquery-placeholder	https://github.com/mathiasbynens/jquery-placeholder	1	0	0	1
481040	CodeIgniter-Ion-Auth	https://github.com/benedmunds/CodeIgniter-Ion-Auth	1	0	0	1
481796	protojs	https://github.com/sirikata/protojs	3	0	0	3
481872	vagrant	https://github.com/mitchellh/vagrant	1	0	0	1
489859	jclouds	https://github.com/jclouds/jclouds	1	0	0	1
506347	SquishIt	https://github.com/jetheredge/SquishIt	1	1	0	2
508845	RestKit	https://github.com/RestKit/RestKit	1	1	0	2
521583	symfony-docs	https://github.com/symfony/symfony-docs	1	0	0	1
524305	zencoding-vim	https://github.com/mattn/zencoding-vim	1	0	0	1
526028	concerto	https://github.com/concerto/concerto	1	1	0	2
527644	less.js	https://github.com/cloudhead/less.js	0	3	0	3
540369	jforum2	https://github.com/rafaelsteil/jforum2	1	0	0	1
542935	zavolaj	https://github.com/jnthn/zavolaj	0	1	0	1
548537	CSScomb	https://github.com/miripiruni/CSScomb	2	0	0	2
553762	Change-Colors	https://github.com/Strav/Change-Colors	1	0	0	1
556060	ice_cube	https://github.com/seejohnrun/ice_cube	5	1	0	6
557980	socket.io	https://github.com/LearnBoost/socket.io	2	1	0	3
563066	js2-mode	https://github.com/mooz/js2-mode	1	0	0	1
563272	jackalope	https://github.com/jackalope/jackalope	0	1	0	1
564599	uberon	https://github.com/cmungall/uberon	0	2	0	2
566670	Orlib	https://github.com/guardianproject/Orlib	1	0	0	1
570570	oce	https://github.com/dankelley/oce	1	1	0	2
572923	flashcache	https://github.com/facebook/flashcache	1	0	0	1
574749	biocaml	https://github.com/biocaml/biocaml	0	2	0	2
576201	three.js	https://github.com/mrdoob/three.js	2	2	0	4
585910	regula	https://github.com/vivin/regula	0	2	0	2
590645	io-console	https://github.com/nobu/io-console	1	0	0	1
593052	Bicyclette	https://github.com/n-b/Bicyclette	1	5	0	6
597879	mongoose	https://github.com/LearnBoost/mongoose	1	0	0	1
599695	es5-compat-table	https://github.com/kangax/es5-compat-table	0	1	0	1
603712	Devel--Cover	https://github.com/pjcj/Devel--Cover	0	1	0	1
608537	amistad	https://github.com/raw1z/amistad	1	0	0	1
611333	node.bcrypt.js	https://github.com/ncb000gt/node.bcrypt.js	1	2	0	3
612595	galleria	https://github.com/aino/galleria	1	0	0	1
612967	pipes	https://github.com/tinkerpop/pipes	1	0	0	1
619849	spf13-vim	https://github.com/spf13/spf13-vim	1	0	0	1
620636	webfontloader	https://github.com/typekit/webfontloader	1	0	0	1
622127	Cinder	https://github.com/cinder/Cinder	1	0	0	1
622291	softlayer-api-python-client	https://github.com/softlayer/softlayer-api-python-client	0	1	0	1
623018	koala	https://github.com/arsduo/koala	2	0	0	2
641603	stylebot	https://github.com/ankit/stylebot	1	0	0	1
645968	PagedList	https://github.com/TroyGoode/PagedList	1	1	0	2
646976	infinite-scroll	https://github.com/paulirish/infinite-scroll	1	1	0	2
656102	CakePHP-Facebook-Plugin	https://github.com/webtechnick/CakePHP-Facebook-Plugin	0	1	0	1
658518	ipython	https://github.com/ipython/ipython	3	1	0	4
660615	hp15c	https://github.com/ghewgill/hp15c	1	0	0	1
661341	grails-spring-security-ui	https://github.com/grails-plugins/grails-spring-security-ui	1	0	0	1
666274	node-irc	https://github.com/martynsmith/node-irc	1	0	0	1
670034	jquery.simpleWeather	https://github.com/monkeecreate/jquery.simpleWeather	0	1	0	1
