select8::user	select8::url	select8::opened_count	select8::closed_count	select8::reopened_count	select8::total_actions_count
1u	https://github.com/1u	0	1	0	1
7a	https://github.com/7a	1	0	0	1
NV	https://github.com/NV	1	0	0	1
cj	https://github.com/cj	1	0	0	1
dw	https://github.com/dw	2	1	0	3
jg	https://github.com/jg	1	0	0	1
jo	https://github.com/jo	5	3	0	8
mc	https://github.com/mc	1	0	0	1
np	https://github.com/np	1	0	0	1
pv	https://github.com/pv	0	4	0	4
rf	https://github.com/rf	1	1	0	2
ys	https://github.com/ys	1	0	0	1
Rua	https://github.com/Rua	1	0	0	1
abn	https://github.com/abn	6	3	1	10
am4	https://github.com/am4	1	0	0	1
ane	https://github.com/ane	1	1	0	2
arv	https://github.com/arv	0	2	0	2
ask	https://github.com/ask	1	1	0	2
ctb	https://github.com/ctb	3	1	0	4
cvb	https://github.com/cvb	0	2	0	2
dag	https://github.com/dag	0	1	0	1
db0	https://github.com/db0	0	1	0	1
dfm	https://github.com/dfm	3	27	0	30
did	https://github.com/did	1	0	0	1
doy	https://github.com/doy	0	2	0	2
fdv	https://github.com/fdv	11	0	0	11
ggl	https://github.com/ggl	1	0	0	1
h2s	https://github.com/h2s	0	1	0	1
hcf	https://github.com/hcf	0	1	0	1
hoh	https://github.com/hoh	1	0	0	1
hvr	https://github.com/hvr	2	0	0	2
ile	https://github.com/ile	1	0	0	1
ipf	https://github.com/ipf	3	0	0	3
jan	https://github.com/jan	1	0	0	1
jch	https://github.com/jch	0	1	0	1
jcw	https://github.com/jcw	3	1	0	4
jdm	https://github.com/jdm	3	1	0	4
jhx	https://github.com/jhx	1	0	0	1
jjb	https://github.com/jjb	0	1	1	2
jnm	https://github.com/jnm	2	0	0	2
jrk	https://github.com/jrk	1	0	0	1
k2s	https://github.com/k2s	1	0	0	1
k4k	https://github.com/k4k	0	2	2	4
kal	https://github.com/kal	0	1	0	1
kpp	https://github.com/kpp	2	0	0	2
kud	https://github.com/kud	1	0	0	1
kul	https://github.com/kul	1	0	0	1
ldx	https://github.com/ldx	0	2	0	2
lmj	https://github.com/lmj	0	1	0	1
lou	https://github.com/lou	0	1	0	1
lqi	https://github.com/lqi	0	1	0	1
lsv	https://github.com/lsv	1	0	0	1
ltw	https://github.com/ltw	1	0	0	1
m90	https://github.com/m90	0	1	0	1
mdo	https://github.com/mdo	0	6	0	6
mdp	https://github.com/mdp	0	2	0	2
mhl	https://github.com/mhl	1	0	0	1
mwl	https://github.com/mwl	1	2	0	3
ngn	https://github.com/ngn	0	1	0	1
nh2	https://github.com/nh2	1	0	0	1
njx	https://github.com/njx	0	3	0	3
nlf	https://github.com/nlf	1	1	0	2
nov	https://github.com/nov	0	1	0	1
ozh	https://github.com/ozh	0	2	0	2
pe3	https://github.com/pe3	1	0	0	1
peq	https://github.com/peq	0	1	0	1
phw	https://github.com/phw	0	1	0	1
pid	https://github.com/pid	1	1	0	2
pld	https://github.com/pld	0	1	0	1
qcz	https://github.com/qcz	1	0	0	1
qii	https://github.com/qii	0	2	0	2
rdp	https://github.com/rdp	0	1	0	1
rf-	https://github.com/rf-	0	1	0	1
rkh	https://github.com/rkh	4	1	0	5
rr-	https://github.com/rr-	1	0	0	1
ryw	https://github.com/ryw	1	1	0	2
s-u	https://github.com/s-u	0	1	0	1
san	https://github.com/san	1	0	0	1
skx	https://github.com/skx	0	3	0	3
smn	https://github.com/smn	2	0	0	2
ssp	https://github.com/ssp	1	0	0	1
tap	https://github.com/tap	1	0	0	1
taq	https://github.com/taq	0	1	0	1
th7	https://github.com/th7	2	2	0	4
