sort23::issue	sort23::issue_opened_at	sort23::issue_closed_at	sort23::seconds_open	sort23::repo_name	sort23::repo_id	sort23::repo_url
9721013	2013-01-06T14:16:40.000-08:00	2013-12-24T13:27:57.000-08:00	30409877	Lacuna-Server-Open	4628948	https://github.com/plainblack/Lacuna-Server-Open
9605161	2013-01-01T14:01:06.000-08:00	2013-12-19T12:24:21.000-08:00	30406995	spectral-workbench	1097589	https://github.com/jywarren/spectral-workbench
9903249	2013-01-11T20:26:40.000-08:00	2013-12-29T05:48:52.000-08:00	30360132	MagicalRecord	801795	https://github.com/magicalpanda/MagicalRecord
9602060	2013-01-01T05:08:53.000-08:00	2013-12-18T12:05:11.000-08:00	30351378	pandas	858127	https://github.com/pydata/pandas
9881973	2013-01-11T06:48:16.000-08:00	2013-12-28T11:13:23.000-08:00	30342307	nsq	4307108	https://github.com/bitly/nsq
9928618	2013-01-13T15:57:14.000-08:00	2013-12-30T18:46:30.000-08:00	30336556	ESP-Website	2643878	https://github.com/learning-unlimited/ESP-Website
9703889	2013-01-05T00:52:07.000-08:00	2013-12-22T00:57:18.000-08:00	30326711	dokuJClient	7189304	https://github.com/gturri/dokuJClient
9641211	2013-01-03T03:47:45.000-08:00	2013-12-19T17:27:35.000-08:00	30289190	USBH_MIDI	4101929	https://github.com/YuuichiAkagawa/USBH_MIDI
9712815	2013-01-05T20:08:55.000-08:00	2013-12-22T07:08:48.000-08:00	30279593	iscroll	1136075	https://github.com/cubiq/iscroll
9764196	2013-01-08T02:37:41.000-08:00	2013-12-24T12:33:50.000-08:00	30275769	SublimeLinter	1844290	https://github.com/SublimeLinter/SublimeLinter
9939193	2013-01-14T03:48:36.000-08:00	2013-12-30T13:41:55.000-08:00	30275599	sequelize	790359	https://github.com/sdepold/sequelize
9687687	2013-01-04T09:09:45.000-08:00	2013-12-20T18:55:35.000-08:00	30275150	training.github.com	5227250	https://github.com/github/training.github.com
9835189	2013-01-10T01:08:39.000-08:00	2013-12-26T09:03:04.000-08:00	30268465	inasafe	3135721	https://github.com/AIFDR/inasafe
9836414	2013-01-10T02:00:30.000-08:00	2013-12-26T09:00:34.000-08:00	30265204	inasafe	3135721	https://github.com/AIFDR/inasafe
9836086	2013-01-10T01:48:44.000-08:00	2013-12-26T08:47:43.000-08:00	30265139	inasafe	3135721	https://github.com/AIFDR/inasafe
